generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
325.0,899.0,6992.0,6408.0,317.0,820.0,2588.0,6977.0,55.0,86.0,283.0,322.0,3513.0,788.0,3493.0,31033.0,31597.0,42.5,29585.0,2016,7,8,46.53,20
514.0,949.0,5400.0,7957.0,353.0,705.0,3326.0,6693.0,81.0,68.0,3793.0,261.0,2696.0,3608.0,2651.0,32997.0,33513.0,67.57,32796.0,2015,5,10,53.79,8
338.0,564.0,4941.0,2846.0,277.0,1184.0,1284.0,6001.0,57.0,103.0,475.0,298.0,5939.0,422.0,5527.0,24802.0,24776.0,51.79,24307.0,2018,5,3,61.13,7
305.0,794.0,4429.0,4639.0,289.0,469.0,259.0,6751.0,57.0,79.0,42.0,303.0,5737.0,9.0,5627.0,22173.0,21506.0,42.41,24153.0,2016,10,4,49.41,14
320.0,894.0,6337.0,6554.0,281.0,590.0,3670.0,7107.0,59.0,91.0,40.0,293.0,3414.0,10.0,3444.0,34263.0,34572.0,64.98,29650.0,2017,2,21,85.9,1
367.0,924.0,4447.0,5417.0,249.0,654.0,2321.0,7105.0,57.0,103.0,154.0,335.0,6568.0,243.0,6597.0,31725.0,30621.0,78.36,28701.0,2017,1,18,68.17,28
348.0,603.0,5356.0,5953.0,268.0,463.0,1680.0,7102.0,61.0,100.0,44.0,333.0,3562.0,26.0,3537.0,21298.0,22452.0,60.15,25873.0,2017,6,7,58.87,1
236.0,213.0,3668.0,1841.0,264.0,1021.0,1057.0,7084.0,14.0,107.0,3782.0,330.0,7406.0,4103.0,7288.0,28696.0,28870.0,39.19,27023.0,2017,4,17,46.98,21
370.0,621.0,3658.0,1808.0,205.0,538.0,394.0,5057.0,59.0,74.0,24.0,284.0,9298.0,1.0,9221.0,20911.0,21202.0,29.9,22390.0,2016,11,6,34.77,20
376.0,918.0,6214.0,6136.0,287.0,830.0,3175.0,6953.0,56.0,92.0,4526.0,318.0,2657.0,4447.0,2837.0,34084.0,34101.0,46.16,32538.0,2016,1,17,46.02,8
554.0,468.0,4772.0,5528.0,358.0,626.0,1189.0,6687.0,57.0,68.0,4063.0,240.0,6791.0,4080.0,6862.0,32080.0,30073.0,57.9,31401.0,2015,8,16,65.81,24
360.0,887.0,6376.0,6466.0,299.0,494.0,1764.0,7101.0,61.0,103.0,55.0,287.0,7140.0,91.0,7177.0,31649.0,31328.0,69.7,31393.0,2017,5,8,46.25,1
311.0,371.0,4207.0,4138.0,328.0,890.0,264.0,7088.0,47.0,96.0,22.0,291.0,10371.0,9.0,10558.0,25016.0,24874.0,45.0,28424.0,2017,12,3,49.49,14
381.0,979.0,9665.0,3473.0,334.0,442.0,3278.0,6824.0,54.0,89.0,573.0,304.0,2860.0,533.0,2851.0,29504.0,29675.0,52.69,29256.0,2017,9,22,62.27,19
492.0,784.0,6104.0,6399.0,403.0,1036.0,7100.0,6098.0,96.0,76.0,800.0,227.0,1290.0,758.0,1359.0,34452.0,34277.0,47.65,30905.0,2016,2,9,54.0,2
317.0,480.0,5761.0,5523.0,298.0,559.0,1205.0,7032.0,61.0,104.0,5.0,326.0,559.0,19.0,965.0,22292.0,22436.0,65.41,22230.0,2018,10,4,70.2,26
339.0,595.0,5545.0,4884.0,291.0,406.0,282.0,7018.0,54.0,85.0,54.0,290.0,2533.0,45.0,2409.0,22736.0,22415.0,50.0,22376.0,2016,11,2,56.43,10
338.0,0.0,4514.0,1906.0,275.0,1513.0,3157.0,5091.0,13.0,90.0,265.0,243.0,2084.0,245.0,2145.0,22217.0,22702.0,35.35,19489.0,2016,5,4,42.74,26
385.0,983.0,11544.0,6290.0,354.0,743.0,1407.0,5607.0,16.0,99.0,2485.0,321.0,5797.0,2585.0,6286.0,36147.0,37287.0,51.36,36031.0,2017,7,19,60.14,13
356.0,987.0,15658.0,6905.0,357.0,638.0,614.0,6048.0,57.0,106.0,40.0,301.0,5057.0,22.0,4938.0,38285.0,38422.0,76.54,37124.0,2017,4,21,59.95,12
393.0,703.0,4261.0,5123.0,287.0,651.0,1841.0,6989.0,64.0,79.0,472.0,287.0,4798.0,623.0,4963.0,29116.0,28987.0,42.12,25948.0,2016,8,8,46.09,25
413.0,0.0,3410.0,1026.0,279.0,1750.0,4482.0,7099.0,54.0,79.0,2965.0,138.0,7032.0,3130.0,7086.0,25513.0,25852.0,20.12,28727.0,2016,2,17,47.55,4
448.0,641.0,5101.0,8236.0,344.0,762.0,2656.0,5662.0,78.0,65.0,526.0,279.0,1641.0,667.0,1651.0,27789.0,27583.0,61.45,26439.0,2015,6,7,66.56,23
363.0,602.0,5412.0,5431.0,221.0,629.0,869.0,6979.0,61.0,99.0,16.0,280.0,5399.0,4.0,5402.0,22755.0,22997.0,60.71,26361.0,2017,1,6,68.22,22
510.0,0.0,4066.0,2719.0,211.0,681.0,954.0,5041.0,83.0,70.0,25.0,273.0,5261.0,14.0,5191.0,20177.0,19977.0,34.0,19894.0,2015,1,2,54.98,11
284.0,0.0,4957.0,1171.0,334.0,1794.0,7468.0,6073.0,55.0,99.0,25.0,316.0,4818.0,34.0,6477.0,31421.0,31201.0,51.17,27394.0,2018,3,7,48.59,13
507.0,944.0,8465.0,7602.0,361.0,602.0,3377.0,6808.0,92.0,62.0,811.0,230.0,2290.0,1203.0,2431.0,32250.0,32395.0,70.26,32151.0,2015,8,9,72.68,31
536.0,915.0,6564.0,8228.0,368.0,1005.0,3821.0,7105.0,81.0,79.0,3901.0,215.0,3190.0,3822.0,3081.0,36348.0,35670.0,69.0,36008.0,2015,9,13,75.17,1
388.0,960.0,12062.0,6137.0,321.0,390.0,968.0,5961.0,56.0,105.0,2664.0,317.0,1329.0,2561.0,1464.0,30065.0,29872.0,63.86,31658.0,2017,9,18,43.3,10
441.0,0.0,4116.0,2031.0,233.0,1418.0,3667.0,6978.0,83.0,58.0,3908.0,152.0,2266.0,3989.0,2231.0,25938.0,25789.0,38.17,25351.0,2015,8,10,76.08,3
372.0,0.0,4179.0,1534.0,299.0,1803.0,4735.0,5056.0,61.0,115.0,401.0,320.0,9077.0,506.0,8596.0,29594.0,29806.0,48.01,27952.0,2018,4,22,58.33,5
327.0,608.0,6509.0,3091.0,335.0,559.0,781.0,6855.0,55.0,88.0,636.0,306.0,3729.0,575.0,3662.0,28159.0,28324.0,50.7,23879.0,2017,8,0,57.22,18
384.0,522.0,3670.0,2238.0,228.0,1002.0,915.0,7102.0,61.0,96.0,31.0,301.0,9089.0,10.0,8934.0,25172.0,25387.0,39.69,25639.0,2017,2,6,42.96,27
335.0,0.0,4494.0,1010.0,314.0,1272.0,3369.0,7071.0,58.0,88.0,3526.0,260.0,7933.0,4014.0,7773.0,32277.0,31579.0,39.0,29730.0,2016,6,12,47.55,16
352.0,0.0,4893.0,2118.0,242.0,1179.0,4809.0,7104.0,55.0,103.0,27.0,311.0,7286.0,16.0,7427.0,30507.0,30226.0,61.8,28479.0,2018,1,22,69.7,21
273.0,0.0,3359.0,1488.0,247.0,1293.0,2053.0,7095.0,59.0,86.0,370.0,250.0,13455.0,349.0,13924.0,27222.0,27248.0,34.41,30028.0,2017,12,22,80.34,3
431.0,0.0,3470.0,1007.0,286.0,823.0,1226.0,3852.0,91.0,70.0,67.0,217.0,11799.0,1.0,11888.0,21495.0,21512.0,6.23,23339.0,2016,7,3,42.13,2
341.0,760.0,6055.0,4607.0,235.0,854.0,2460.0,6976.0,56.0,92.0,304.0,321.0,3163.0,450.0,3203.0,26710.0,26530.0,74.11,26224.0,2018,9,20,78.23,9
451.0,967.0,4489.0,4864.0,381.0,1180.0,3913.0,5031.0,88.0,69.0,3970.0,194.0,3859.0,3830.0,3905.0,31051.0,30328.0,48.82,29456.0,2015,11,18,66.28,5
396.0,618.0,6392.0,4704.0,289.0,888.0,2887.0,6987.0,56.0,80.0,4261.0,294.0,3591.0,4087.0,3461.0,31208.0,31513.0,44.0,31443.0,2016,7,10,49.06,25
282.0,0.0,4986.0,1744.0,261.0,1150.0,2216.0,7102.0,58.0,98.0,360.0,275.0,2153.0,387.0,2199.0,23106.0,23265.0,49.01,20685.0,2017,3,0,54.53,20
361.0,462.0,3846.0,3453.0,238.0,1013.0,1248.0,4951.0,52.0,87.0,2170.0,280.0,5921.0,2567.0,6042.0,25402.0,25583.0,43.01,24082.0,2017,5,14,50.0,21
486.0,0.0,6243.0,3307.0,274.0,1570.0,6992.0,6867.0,83.0,67.0,643.0,147.0,2242.0,449.0,2127.0,30351.0,29742.0,60.75,28921.0,2015,7,20,70.09,3
452.0,333.0,5881.0,5087.0,342.0,1473.0,7028.0,7098.0,92.0,82.0,251.0,213.0,2012.0,142.0,2064.0,33085.0,33090.0,42.52,30344.0,2016,3,22,56.0,17
479.0,918.0,8315.0,7727.0,419.0,758.0,2003.0,6091.0,89.0,77.0,39.0,239.0,2099.0,30.0,2065.0,29640.0,29352.0,66.0,29253.0,2015,4,23,62.81,12
337.0,712.0,10583.0,6910.0,287.0,1165.0,3804.0,5047.0,55.0,100.0,1757.0,280.0,2163.0,1902.0,2853.0,33197.0,33271.0,68.4,33200.0,2018,11,11,73.55,15
363.0,923.0,4485.0,5972.0,297.0,449.0,624.0,7104.0,59.0,104.0,31.0,310.0,7343.0,11.0,7372.0,25437.0,25446.0,54.09,28064.0,2017,5,6,42.99,1
270.0,270.0,4621.0,4424.0,281.0,899.0,1549.0,6051.0,53.0,101.0,322.0,274.0,2817.0,254.0,2822.0,25020.0,24852.0,52.0,21932.0,2017,9,6,54.17,5
287.0,0.0,4052.0,749.0,217.0,1597.0,1434.0,6057.0,13.0,59.0,50.0,258.0,8555.0,179.0,8745.0,20295.0,19895.0,7.63,23328.0,2016,5,4,22.67,29
221.0,276.0,3426.0,2759.0,200.0,968.0,872.0,7075.0,15.0,99.0,3574.0,314.0,3574.0,3235.0,3592.0,24848.0,25038.0,40.98,23373.0,2017,4,17,48.67,22
353.0,595.0,5693.0,5610.0,231.0,507.0,1971.0,7097.0,58.0,99.0,3256.0,311.0,1939.0,3281.0,1918.0,28113.0,28905.0,64.88,27720.0,2017,7,15,54.78,1
531.0,950.0,9952.0,7226.0,401.0,764.0,3693.0,6435.0,88.0,65.0,4905.0,264.0,1168.0,4868.0,1285.0,35415.0,36319.0,69.69,36442.0,2015,7,11,81.08,13
305.0,525.0,6996.0,5930.0,336.0,1052.0,3450.0,6082.0,53.0,98.0,16.0,339.0,6155.0,14.0,6125.0,32688.0,33557.0,61.97,31337.0,2018,12,7,59.72,1
338.0,221.0,4660.0,3706.0,243.0,874.0,1208.0,5757.0,51.0,96.0,4213.0,315.0,1681.0,3916.0,1608.0,25519.0,25726.0,46.55,23363.0,2017,11,10,67.1,6
317.0,446.0,7658.0,4362.0,286.0,1491.0,4320.0,5049.0,58.0,107.0,1207.0,223.0,2193.0,1215.0,2795.0,31036.0,31006.0,65.96,27717.0,2018,5,9,71.49,24
534.0,861.0,4947.0,7468.0,328.0,808.0,1219.0,7109.0,80.0,69.0,35.0,228.0,3492.0,1.0,3246.0,27019.0,27279.0,59.82,27178.0,2015,9,6,52.47,1
494.0,605.0,7273.0,5821.0,398.0,1466.0,7312.0,7107.0,86.0,80.0,200.0,209.0,3023.0,143.0,2852.0,34655.0,33904.0,60.35,34074.0,2015,2,22,86.39,19
340.0,628.0,5245.0,5416.0,316.0,971.0,1165.0,6611.0,60.0,94.0,440.0,254.0,4091.0,351.0,4199.0,26370.0,26550.0,43.25,25631.0,2016,6,1,48.72,30
331.0,0.0,4994.0,2804.0,328.0,1714.0,4685.0,5029.0,67.0,113.0,3615.0,270.0,4130.0,4090.0,4280.0,30668.0,31155.0,57.09,28080.0,2018,9,14,85.07,5
368.0,568.0,3335.0,4305.0,233.0,519.0,1275.0,6999.0,54.0,79.0,571.0,316.0,5553.0,417.0,5499.0,26974.0,26585.0,40.38,24175.0,2016,9,22,53.89,24
232.0,50.0,4334.0,1839.0,276.0,1092.0,1136.0,7109.0,57.0,90.0,57.0,279.0,7253.0,13.0,7348.0,23896.0,24242.0,34.97,23804.0,2017,3,5,37.47,23
251.0,506.0,4572.0,3574.0,280.0,933.0,2165.0,6467.0,25.0,101.0,909.0,292.0,6529.0,948.0,6538.0,29716.0,28959.0,52.87,26604.0,2017,4,18,59.0,28
568.0,957.0,9939.0,7108.0,424.0,714.0,2238.0,6091.0,89.0,80.0,27.0,245.0,2431.0,41.0,2387.0,32032.0,31602.0,63.89,30911.0,2015,11,22,74.81,12
368.0,624.0,4843.0,3717.0,266.0,968.0,1064.0,5041.0,54.0,98.0,428.0,341.0,5329.0,468.0,5216.0,26700.0,25804.0,51.29,23141.0,2017,5,7,42.03,6
344.0,392.0,5026.0,2852.0,238.0,834.0,717.0,6963.0,58.0,91.0,386.0,306.0,2859.0,299.0,3116.0,23038.0,22866.0,58.9,21066.0,2018,8,3,64.23,13
217.0,0.0,3444.0,1346.0,291.0,1866.0,6726.0,7090.0,52.0,75.0,1491.0,247.0,8481.0,1309.0,8495.0,30509.0,31066.0,19.61,31326.0,2016,4,15,31.09,19
364.0,410.0,4962.0,1918.0,230.0,1142.0,839.0,5996.0,56.0,95.0,430.0,321.0,3872.0,379.0,3745.0,21507.0,21405.0,52.02,20635.0,2018,8,6,58.79,7
334.0,0.0,4297.0,1299.0,227.0,1586.0,2140.0,5047.0,51.0,105.0,638.0,291.0,5839.0,628.0,6183.0,21927.0,21862.0,44.1,21854.0,2018,6,2,53.38,17
474.0,314.0,4588.0,5913.0,324.0,1364.0,6289.0,7094.0,83.0,65.0,613.0,125.0,4559.0,876.0,4615.0,32981.0,32840.0,50.0,31805.0,2015,3,8,56.73,17
320.0,0.0,4522.0,1740.0,286.0,1475.0,1474.0,6074.0,14.0,81.0,260.0,265.0,3432.0,308.0,3445.0,22535.0,22612.0,32.19,19943.0,2016,5,5,40.35,31
318.0,928.0,4643.0,5225.0,233.0,391.0,1151.0,6032.0,58.0,94.0,43.0,317.0,1761.0,78.0,1825.0,23098.0,22752.0,53.16,21194.0,2016,10,0,61.15,30
387.0,587.0,3583.0,1727.0,307.0,478.0,929.0,6878.0,52.0,102.0,4380.0,329.0,5278.0,4147.0,5450.0,28674.0,28324.0,38.5,25017.0,2017,2,11,76.55,9
379.0,759.0,6852.0,5928.0,315.0,809.0,4551.0,6967.0,54.0,108.0,2194.0,319.0,952.0,2700.0,1391.0,33206.0,33527.0,77.07,30187.0,2018,12,10,61.65,9
365.0,655.0,6874.0,4521.0,301.0,1355.0,5092.0,5986.0,63.0,90.0,5235.0,295.0,2630.0,5258.0,2380.0,35960.0,37040.0,64.86,33462.0,2018,9,12,80.55,7
354.0,192.0,5410.0,2659.0,329.0,1234.0,3753.0,7104.0,68.0,100.0,2628.0,285.0,2916.0,2302.0,3174.0,32161.0,31620.0,50.23,27032.0,2017,10,9,71.15,3
544.0,933.0,5399.0,7138.0,370.0,535.0,2550.0,6918.0,83.0,68.0,255.0,241.0,1513.0,398.0,1491.0,26989.0,27308.0,58.81,26547.0,2015,11,8,68.0,9
326.0,986.0,15515.0,5115.0,297.0,452.0,3408.0,5639.0,60.0,107.0,790.0,230.0,1816.0,892.0,1699.0,32044.0,31897.0,71.05,34741.0,2017,10,19,76.7,26
402.0,664.0,7977.0,5358.0,325.0,1050.0,2854.0,5969.0,68.0,104.0,1093.0,312.0,4300.0,1041.0,4102.0,33535.0,33595.0,65.36,30476.0,2018,7,21,72.91,26
339.0,906.0,4555.0,4961.0,207.0,529.0,645.0,5708.0,56.0,80.0,40.0,294.0,4255.0,0.0,4479.0,22797.0,23005.0,46.66,22575.0,2016,12,2,56.76,19
332.0,836.0,4233.0,5015.0,247.0,711.0,1583.0,6035.0,56.0,88.0,43.0,293.0,7847.0,12.0,7823.0,28917.0,28618.0,58.11,27319.0,2016,5,20,40.48,11
373.0,940.0,6690.0,4377.0,332.0,1175.0,3381.0,7107.0,75.0,93.0,24.0,266.0,8919.0,104.0,9105.0,36888.0,37957.0,58.19,33752.0,2018,1,19,61.67,2
390.0,0.0,3999.0,3033.0,229.0,793.0,1301.0,6976.0,57.0,82.0,4620.0,311.0,4879.0,4533.0,4876.0,26111.0,26456.0,39.25,26670.0,2016,7,17,45.81,24
313.0,918.0,5951.0,4905.0,322.0,370.0,399.0,5960.0,56.0,98.0,176.0,301.0,4190.0,141.0,4268.0,23681.0,23714.0,49.92,23959.0,2017,4,2,48.53,10
321.0,560.0,10559.0,4853.0,319.0,445.0,1508.0,5905.0,60.0,108.0,256.0,301.0,7895.0,202.0,7975.0,31013.0,30957.0,62.58,33090.0,2017,10,19,69.08,19
359.0,912.0,6251.0,5574.0,311.0,760.0,3404.0,6962.0,59.0,76.0,5143.0,293.0,2847.0,5192.0,2871.0,36213.0,35161.0,43.95,32951.0,2016,8,14,51.92,23
348.0,495.0,7562.0,1662.0,312.0,1852.0,7524.0,5050.0,53.0,107.0,2346.0,236.0,2178.0,2845.0,2864.0,31736.0,31896.0,63.44,29725.0,2018,11,11,69.96,6
372.0,0.0,3781.0,1644.0,348.0,929.0,1865.0,6079.0,87.0,64.0,22.0,202.0,9613.0,1.0,9991.0,21227.0,21208.0,12.9,25006.0,2016,5,4,21.69,1
490.0,515.0,3542.0,4151.0,329.0,541.0,187.0,6424.0,85.0,67.0,19.0,227.0,8372.0,2.0,8241.0,23359.0,23465.0,29.11,24949.0,2015,12,4,38.82,15
296.0,0.0,4618.0,951.0,350.0,1802.0,5036.0,5989.0,54.0,98.0,2049.0,288.0,12289.0,1304.0,10249.0,32321.0,32121.0,42.23,33820.0,2018,12,17,72.23,3
360.0,0.0,1784.0,1226.0,250.0,1506.0,4991.0,6444.0,88.0,57.0,3139.0,200.0,10947.0,3173.0,11086.0,28689.0,28751.0,5.59,30992.0,2016,2,12,14.56,28
347.0,893.0,4614.0,6028.0,286.0,450.0,549.0,7107.0,60.0,99.0,42.0,293.0,4845.0,8.0,4844.0,23544.0,23664.0,53.02,25613.0,2017,4,5,34.15,1
503.0,819.0,4353.0,4907.0,379.0,1015.0,3073.0,5049.0,82.0,72.0,54.0,168.0,6088.0,95.0,5932.0,28175.0,28098.0,50.32,26562.0,2015,5,23,64.85,13
465.0,0.0,3598.0,3022.0,354.0,1260.0,2596.0,7097.0,46.0,66.0,3269.0,177.0,14331.0,3165.0,13237.0,35728.0,35095.0,48.07,36281.0,2015,3,10,60.55,25
353.0,597.0,7818.0,5892.0,322.0,453.0,2004.0,6963.0,56.0,90.0,69.0,296.0,2997.0,53.0,2939.0,28879.0,29081.0,57.59,27910.0,2016,10,22,72.0,27
396.0,434.0,5047.0,3099.0,247.0,983.0,900.0,6479.0,56.0,87.0,617.0,322.0,3767.0,604.0,3980.0,23112.0,23104.0,55.51,22434.0,2018,7,2,62.72,23
337.0,583.0,4402.0,4901.0,283.0,390.0,416.0,6031.0,59.0,91.0,20.0,312.0,3718.0,7.0,3696.0,21200.0,21261.0,42.74,21543.0,2016,1,1,15.28,11
548.0,0.0,4328.0,2796.0,380.0,600.0,1182.0,4898.0,86.0,66.0,61.0,245.0,12935.0,110.0,12792.0,29111.0,29810.0,46.69,28125.0,2015,5,8,50.34,10
336.0,656.0,15849.0,6684.0,306.0,462.0,3315.0,5043.0,55.0,91.0,2903.0,253.0,1510.0,2758.0,1606.0,34063.0,35056.0,73.03,37463.0,2017,11,10,81.03,20
381.0,575.0,9319.0,4792.0,362.0,711.0,801.0,5908.0,20.0,104.0,5089.0,297.0,3856.0,5101.0,3772.0,35108.0,34066.0,51.5,32215.0,2017,7,15,62.32,21
493.0,956.0,6295.0,7801.0,348.0,645.0,2736.0,6866.0,84.0,67.0,1107.0,245.0,3873.0,1217.0,3856.0,31824.0,31932.0,57.5,31516.0,2015,1,9,81.67,9
350.0,633.0,9931.0,5542.0,346.0,1007.0,4066.0,6939.0,71.0,98.0,3790.0,316.0,2312.0,4318.0,2592.0,36222.0,36614.0,67.94,35401.0,2018,7,11,62.82,8
311.0,981.0,10737.0,6253.0,299.0,451.0,2576.0,7029.0,55.0,89.0,54.0,299.0,2950.0,20.0,2899.0,28948.0,28934.0,59.26,32084.0,2016,10,22,75.57,19
365.0,0.0,4933.0,3253.0,293.0,746.0,746.0,6990.0,54.0,76.0,693.0,307.0,6656.0,656.0,6693.0,25947.0,26269.0,31.79,25112.0,2016,7,2,38.58,13
346.0,932.0,5297.0,6126.0,315.0,605.0,1895.0,6993.0,55.0,91.0,3958.0,301.0,2390.0,4016.0,2501.0,30960.0,31349.0,47.25,29304.0,2016,9,16,54.09,22
390.0,741.0,6678.0,6497.0,339.0,1017.0,1459.0,7110.0,56.0,98.0,27.0,310.0,8201.0,30.0,8368.0,32797.0,33003.0,52.0,32923.0,2018,9,23,81.64,2
266.0,0.0,2938.0,779.0,168.0,1869.0,4025.0,4738.0,54.0,76.0,475.0,283.0,13522.0,473.0,14725.0,26037.0,26215.0,4.0,29193.0,2018,11,18,73.82,3
481.0,812.0,4941.0,5297.0,246.0,840.0,1889.0,5028.0,88.0,66.0,749.0,280.0,1725.0,977.0,1878.0,20599.0,20576.0,44.98,22442.0,2015,6,8,55.01,14
357.0,824.0,6449.0,6142.0,249.0,447.0,410.0,5502.0,55.0,89.0,3694.0,298.0,6231.0,3747.0,6284.0,29772.0,30355.0,58.03,30747.0,2017,3,14,25.38,12
386.0,644.0,7278.0,4553.0,335.0,1506.0,3713.0,6080.0,46.0,96.0,3523.0,315.0,4162.0,3075.0,5403.0,35600.0,35386.0,60.69,32637.0,2018,2,13,67.8,19
344.0,219.0,8486.0,4240.0,317.0,1529.0,3880.0,5051.0,57.0,103.0,709.0,211.0,2480.0,328.0,1925.0,30921.0,30849.0,64.69,27626.0,2018,5,21,69.41,22
311.0,619.0,7948.0,5384.0,337.0,620.0,830.0,7033.0,66.0,108.0,4588.0,315.0,3631.0,4598.0,4136.0,30523.0,30097.0,64.2,31790.0,2018,10,15,72.9,24
224.0,0.0,4695.0,2114.0,315.0,1819.0,5059.0,5058.0,16.0,96.0,343.0,324.0,9961.0,135.0,11265.0,30355.0,29980.0,41.05,30024.0,2018,11,23,64.3,4
384.0,505.0,9254.0,3506.0,314.0,1166.0,2970.0,7071.0,57.0,98.0,720.0,305.0,5347.0,836.0,5558.0,36100.0,35837.0,58.95,31697.0,2018,1,10,64.63,25
280.0,561.0,5662.0,5055.0,303.0,598.0,2087.0,7050.0,61.0,99.0,53.0,323.0,4632.0,9.0,4489.0,25093.0,25332.0,61.06,26764.0,2018,10,6,57.38,18
372.0,594.0,9324.0,4845.0,222.0,649.0,1313.0,5048.0,56.0,95.0,2922.0,294.0,2458.0,2847.0,2538.0,29384.0,29141.0,59.43,28192.0,2016,12,11,67.94,11
462.0,856.0,5094.0,6619.0,334.0,837.0,2890.0,5022.0,84.0,77.0,65.0,284.0,2812.0,81.0,2810.0,26542.0,25944.0,62.69,25436.0,2015,12,0,67.64,6
365.0,0.0,5364.0,3462.0,241.0,697.0,1162.0,7052.0,57.0,98.0,1652.0,314.0,2692.0,1619.0,2619.0,23112.0,23179.0,60.99,23156.0,2018,10,17,62.74,21
258.0,554.0,4860.0,3480.0,269.0,1099.0,1631.0,6228.0,57.0,111.0,4021.0,316.0,1078.0,4376.0,1020.0,25495.0,25722.0,51.54,23962.0,2017,4,11,60.61,13
537.0,641.0,10711.0,7997.0,398.0,649.0,2799.0,6854.0,83.0,62.0,1041.0,264.0,2747.0,1047.0,2781.0,34849.0,35191.0,69.0,34783.0,2015,7,21,80.5,20
324.0,0.0,4146.0,1222.0,212.0,1296.0,1503.0,6053.0,56.0,81.0,4262.0,293.0,1957.0,3954.0,2017.0,23568.0,23376.0,37.69,21405.0,2016,5,17,42.35,6
370.0,646.0,6972.0,5060.0,227.0,812.0,1740.0,6350.0,58.0,87.0,81.0,325.0,2288.0,212.0,2116.0,26032.0,26250.0,64.55,25016.0,2018,6,6,62.31,8
348.0,592.0,5055.0,5817.0,296.0,468.0,1443.0,6991.0,64.0,89.0,4310.0,293.0,5271.0,4177.0,5476.0,32786.0,32770.0,46.88,31037.0,2016,9,12,55.61,28
230.0,504.0,3823.0,2284.0,307.0,1162.0,905.0,7083.0,60.0,88.0,4123.0,267.0,7548.0,4123.0,7403.0,28629.0,29119.0,41.59,28384.0,2017,4,18,49.29,4
285.0,0.0,4952.0,2164.0,273.0,414.0,334.0,6882.0,54.0,90.0,100.0,305.0,5931.0,101.0,5694.0,23521.0,23734.0,37.07,21784.0,2017,8,6,45.1,19
541.0,885.0,6025.0,7531.0,400.0,620.0,1081.0,6822.0,88.0,74.0,931.0,264.0,8404.0,1093.0,8580.0,34139.0,33763.0,60.0,33666.0,2015,7,21,68.83,24
345.0,919.0,5952.0,5784.0,312.0,606.0,3682.0,7018.0,56.0,94.0,4298.0,303.0,383.0,4438.0,375.0,31700.0,31487.0,48.36,29752.0,2016,9,11,56.03,21
323.0,389.0,5335.0,3203.0,218.0,373.0,504.0,5901.0,54.0,89.0,150.0,283.0,4220.0,78.0,4250.0,23066.0,22940.0,49.8,21042.0,2017,10,0,61.87,22
547.0,0.0,3959.0,2050.0,312.0,594.0,823.0,4897.0,79.0,64.0,45.0,253.0,11977.0,13.0,11527.0,23545.0,24026.0,36.5,25600.0,2015,5,6,54.2,10
462.0,0.0,4116.0,2646.0,387.0,1397.0,3072.0,7083.0,82.0,66.0,694.0,140.0,7984.0,630.0,8006.0,26275.0,27112.0,48.0,28129.0,2015,3,23,65.54,30
286.0,590.0,7312.0,5331.0,339.0,684.0,2492.0,7053.0,75.0,99.0,422.0,327.0,6064.0,399.0,5423.0,31116.0,31429.0,71.93,31074.0,2018,10,9,77.25,18
390.0,880.0,6483.0,5950.0,317.0,983.0,1846.0,7111.0,74.0,92.0,1639.0,314.0,7868.0,1875.0,7865.0,38176.0,37353.0,57.5,33947.0,2018,5,14,56.91,2
354.0,495.0,4709.0,5602.0,317.0,1074.0,2696.0,5071.0,52.0,108.0,332.0,279.0,2832.0,336.0,3631.0,26753.0,26647.0,50.8,23921.0,2017,5,23,59.92,15
443.0,0.0,3764.0,3771.0,346.0,1253.0,3182.0,4530.0,81.0,77.0,4155.0,155.0,9227.0,4077.0,9394.0,29732.0,30210.0,38.5,30984.0,2015,8,17,66.71,5
369.0,438.0,4708.0,3521.0,299.0,796.0,746.0,6973.0,53.0,97.0,683.0,334.0,5004.0,601.0,5594.0,24929.0,25007.0,52.74,24021.0,2018,1,3,57.12,8
371.0,657.0,6864.0,5572.0,299.0,985.0,4708.0,6972.0,56.0,77.0,5018.0,314.0,676.0,4882.0,585.0,34955.0,35945.0,43.5,32569.0,2016,8,14,41.74,7
465.0,0.0,3625.0,1554.0,336.0,1803.0,3402.0,6816.0,91.0,75.0,3766.0,200.0,5668.0,3340.0,5743.0,29855.0,28996.0,30.52,27801.0,2016,3,18,38.56,29
479.0,0.0,4070.0,2042.0,376.0,1048.0,4656.0,4567.0,97.0,73.0,1636.0,207.0,12930.0,1878.0,12635.0,34359.0,34598.0,37.0,32181.0,2016,8,11,51.62,2
564.0,918.0,5766.0,7369.0,333.0,572.0,1354.0,6624.0,87.0,62.0,521.0,248.0,1680.0,763.0,1769.0,26121.0,26336.0,62.47,26098.0,2015,8,8,67.1,17
315.0,628.0,5004.0,3743.0,222.0,870.0,1437.0,6941.0,54.0,101.0,3506.0,326.0,3763.0,3408.0,3319.0,29073.0,29602.0,63.1,26910.0,2018,11,18,70.87,8
