generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
550.0,446.0,4651.0,3901.0,321.0,1590.0,4181.0,7090.0,82.0,74.0,555.0,158.0,7791.0,511.0,7593.0,30576.0,30776.0,45.0,31390.0,2015,12,22,80.34,3
532.0,953.0,5422.0,7816.0,360.0,741.0,3733.0,6684.0,82.0,69.0,4954.0,257.0,3905.0,5210.0,4192.0,35055.0,35550.0,68.46,35508.0,2015,5,12,52.35,8
377.0,566.0,10778.0,6096.0,308.0,1273.0,3060.0,5061.0,66.0,98.0,1409.0,306.0,2868.0,1740.0,3443.0,31592.0,31248.0,68.68,32266.0,2018,11,16,72.99,13
381.0,600.0,9730.0,4019.0,330.0,508.0,1916.0,6808.0,67.0,91.0,4474.0,341.0,2429.0,4392.0,2330.0,33044.0,34659.0,51.46,31694.0,2017,5,17,54.05,9
255.0,235.0,4895.0,1432.0,220.0,950.0,921.0,7023.0,13.0,98.0,282.0,334.0,4497.0,180.0,4586.0,19146.0,19416.0,37.74,21155.0,2017,4,3,50.13,15
512.0,0.0,3184.0,1621.0,292.0,1540.0,5934.0,7112.0,91.0,72.0,291.0,198.0,6806.0,240.0,6920.0,27185.0,27486.0,27.05,27653.0,2016,4,0,32.15,3
368.0,896.0,12998.0,6798.0,293.0,853.0,3664.0,5061.0,65.0,91.0,2103.0,287.0,1424.0,2091.0,1398.0,34368.0,34029.0,67.44,34901.0,2016,2,12,39.79,12
331.0,696.0,10349.0,6062.0,300.0,408.0,3850.0,6033.0,59.0,90.0,2355.0,303.0,1184.0,2657.0,1250.0,32195.0,31016.0,65.69,32020.0,2016,2,10,52.56,11
297.0,866.0,6261.0,5086.0,306.0,982.0,1872.0,5444.0,55.0,101.0,4712.0,331.0,3445.0,4718.0,3500.0,32202.0,32164.0,50.69,29758.0,2017,6,11,55.85,6
283.0,0.0,5412.0,1850.0,253.0,1288.0,2174.0,6079.0,51.0,97.0,20.0,342.0,8829.0,11.0,8891.0,27774.0,27330.0,46.95,26678.0,2018,6,23,69.53,1
505.0,373.0,3613.0,4454.0,296.0,610.0,1325.0,6729.0,80.0,63.0,4503.0,226.0,5917.0,4533.0,5996.0,27016.0,26216.0,40.16,28694.0,2015,2,17,42.07,8
349.0,255.0,4586.0,1644.0,304.0,1574.0,6550.0,5086.0,13.0,84.0,642.0,226.0,6263.0,533.0,6400.0,30224.0,30605.0,32.38,27576.0,2016,5,21,39.95,24
340.0,613.0,5142.0,5003.0,283.0,376.0,891.0,7017.0,49.0,76.0,40.0,280.0,4961.0,42.0,5059.0,20968.0,21193.0,43.2,25071.0,2016,12,5,52.31,10
345.0,877.0,4746.0,4639.0,262.0,663.0,251.0,5050.0,57.0,89.0,27.0,288.0,9859.0,12.0,9854.0,24223.0,24458.0,48.56,27153.0,2016,11,1,54.62,15
351.0,448.0,5541.0,2773.0,335.0,1163.0,1904.0,7098.0,57.0,96.0,19.0,322.0,8892.0,12.0,8611.0,30385.0,30040.0,43.09,28999.0,2018,1,23,55.45,25
354.0,896.0,8316.0,6706.0,286.0,667.0,2963.0,6103.0,57.0,108.0,68.0,287.0,7658.0,0.0,7623.0,36590.0,36734.0,69.44,34469.0,2016,12,21,81.82,19
367.0,0.0,3838.0,1023.0,357.0,1135.0,5482.0,4279.0,94.0,66.0,2644.0,147.0,14963.0,3154.0,14893.0,34149.0,34192.0,15.9,34395.0,2016,2,14,29.46,15
250.0,387.0,4142.0,1374.0,332.0,1295.0,2180.0,7094.0,57.0,104.0,697.0,269.0,9261.0,536.0,9403.0,31956.0,31740.0,46.11,27442.0,2017,3,21,53.76,31
377.0,641.0,7089.0,4003.0,268.0,392.0,1706.0,5970.0,53.0,99.0,110.0,305.0,2889.0,123.0,2835.0,26964.0,26915.0,49.46,23902.0,2017,9,22,62.4,30
471.0,0.0,4810.0,1873.0,365.0,1803.0,8195.0,7096.0,54.0,82.0,1510.0,155.0,7268.0,1537.0,7446.0,33174.0,33087.0,39.75,33682.0,2016,1,9,48.15,4
